jur_id,jur_desc,prg_id,año,desc,monto_normalizado
1,Poder Legislativo Nacional,40,2023,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",33800034.0
1,Poder Legislativo Nacional,40,2024,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",33800000.0
1,Poder Legislativo Nacional,40,2025,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",0.0
1,Poder Legislativo Nacional,40,2026,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946 ,27.148 y 27.149)",38000000.0
1,Poder Legislativo Nacional,41,2023,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",57945058.0
1,Poder Legislativo Nacional,41,2024,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",151545000.0
1,Poder Legislativo Nacional,41,2025,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",151545000.0
1,Poder Legislativo Nacional,41,2026,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",171000000.0
1,Poder Legislativo Nacional,44,2023,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)",2057112441.0
1,Poder Legislativo Nacional,44,2024,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)",7254943914.0
1,Poder Legislativo Nacional,44,2025,"Defensa de los Derechos de las Niñas, Niños y Adolescentes",8405783916.0
1,Poder Legislativo Nacional,44,2026,"Defensa de los Derechos de las Niñas, Niños y Adolescentes",8769000000.0
20,Presidencia de la Nación,22,2024,Acciones de Prensa Institucional,4437005420.0
20,Presidencia de la Nación,22,2025,Promocion y Desarrollo Artistico Cultural y de las Economias Creativas,9781454741.0
20,Presidencia de la Nación,22,2026,Promocion y Desarrollo Artistico Cultural y de las Economias Creativas,8110979751.0
20,Presidencia de la Nación,23,2023,Pensiones no Contributivas por Invalidez Laborativa,381217883037.0
20,Presidencia de la Nación,23,2025,Gestion de Organismos Estables,12948372472.0
20,Presidencia de la Nación,23,2026,Gestion de Organismos Estables,24439842932.0
25,Jefatura de Gabinete de Ministros,16,2023,"Prevencion, Estadisticas e Investigacion sobre Consumos Problematicos",519032725.0
25,Jefatura de Gabinete de Ministros,16,2024,Generacion de Ciclos de Informacion Espacial Completos,45537007709.0
25,Jefatura de Gabinete de Ministros,16,2025,Promocion del Turismo Receptivo Internacional,12881492651.0
25,Jefatura de Gabinete de Ministros,16,2026,Promocion del Turismo Receptivo Internacional,13568400000.0
25,Jefatura de Gabinete de Ministros,17,2023,Atencion y Acompañamiento a Personas con Consumos Problematicos,8688751017.0
25,Jefatura de Gabinete de Ministros,17,2024,Investigacion y Desarrollo de Medios de Acceso al Espacio,11441793648.0
25,Jefatura de Gabinete de Ministros,17,2025,Investigacion y Desarrollo de Medios de Acceso al Espacio,7445798504.0
25,Jefatura de Gabinete de Ministros,17,2026,Investigacion y Desarrollo de Medios de Acceso al Espacio,326392831.0
25,Jefatura de Gabinete de Ministros,18,2023,Administracion de Servicios de Tecnologias de la Informacion y las Comunicaciones,1142800901.0
25,Jefatura de Gabinete de Ministros,18,2024,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",29556037179.0
25,Jefatura de Gabinete de Ministros,18,2025,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",40572989500.0
25,Jefatura de Gabinete de Ministros,18,2026,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",43375434487.0
25,Jefatura de Gabinete de Ministros,19,2024,Investigaciones en Ciencia y Tecnica en el Atlantico Sur: Pampa Azul,215430665.0
25,Jefatura de Gabinete de Ministros,19,2025,Relaciones con las Provincias y Desarrollo Regional,229706157516.0
25,Jefatura de Gabinete de Ministros,19,2026,Formacion y Capacitacion,3793596574.0
25,Jefatura de Gabinete de Ministros,20,2023,Control de Servicios Postales,398489807.0
25,Jefatura de Gabinete de Ministros,20,2024,Desarrollo de Politicas de Vinculacion Tecnologica y Social,283014409.0
25,Jefatura de Gabinete de Ministros,20,2025,Desarrollos y Suministros para la Energia Nuclear,113040019639.0
25,Jefatura de Gabinete de Ministros,20,2026,Desarrollo de Politicas de Vinculacion Tecnologica y Social,2199648203.0
25,Jefatura de Gabinete de Ministros,23,2023,"Enseñanza, Capacitacion y Habilitacion",731864625.0
25,Jefatura de Gabinete de Ministros,23,2024,Pensiones no Contributivas por Invalidez Laborativa,3165104583670.0
25,Jefatura de Gabinete de Ministros,23,2025,Investigacion y Aplicaciones no Nucleares,11904613991.0
25,Jefatura de Gabinete de Ministros,23,2026,"Enseñanza, Capacitacion y Habilitacion",4183806296.0
25,Jefatura de Gabinete de Ministros,24,2023,Gobierno Abierto y Pais Digital,2253037748.0
25,Jefatura de Gabinete de Ministros,24,2024,Gobierno Abierto y Pais Digital,11381176121.0
25,Jefatura de Gabinete de Ministros,24,2025,Suministros y Tecnologia del Ciclo de Combustible Nuclear,14542274608.0
25,Jefatura de Gabinete de Ministros,24,2026,Infraestructura en Areas Naturales Protegidas,3596818482.0
25,Jefatura de Gabinete de Ministros,25,2023,Innovacion Administrativa,1902237540.0
25,Jefatura de Gabinete de Ministros,25,2024,Innovacion Administrativa,9769617697.0
25,Jefatura de Gabinete de Ministros,25,2025,Sistema de Areas Marinas Protegidas,715774172.0
25,Jefatura de Gabinete de Ministros,25,2026,Sistema de Areas Marinas Protegidas,806774560.0
25,Jefatura de Gabinete de Ministros,26,2023,Gestion y Organizacion del Sistema de Contrataciones de la Administracion Publica Nacional,316219736.0
25,Jefatura de Gabinete de Ministros,26,2024,Gestion y Organizacion del Sistema de Contrataciones de la Administracion Publica Nacional,1337455014.0
25,Jefatura de Gabinete de Ministros,26,2025,"Planificacion, Formulacion y Ejecucion de Politicas de Conservacion en Areas Naturales Protegidas",1986990186.0
25,Jefatura de Gabinete de Ministros,26,2026,"Planificacion, Formulacion y Ejecucion de Politicas de Conservacion en Areas Naturales Protegidas",8231979805.0
25,Jefatura de Gabinete de Ministros,27,2023,Desarrollo de los Recursos Humanos del Sector Publico,3287326546.0
25,Jefatura de Gabinete de Ministros,27,2024,Desarrollo de los Recursos Humanos del Sector Publico,12402990509.0
25,Jefatura de Gabinete de Ministros,27,2025,Recuperacion Sustentable de Paisajes y Medios de Vida en Argentina (BIRF N° 9335-AR y PROGREEN Nº TF0B7681),4764983898.0
25,Jefatura de Gabinete de Ministros,27,2026,Recuperacion Sustentable de Paisajes y Medios de Vida en Argentina (BIRF N° 9335-AR y PROGREEN Nº TF0B7681),5385000000.0
25,Jefatura de Gabinete de Ministros,34,2023,Administracion de Bienes del Estado,3139585910.0
25,Jefatura de Gabinete de Ministros,34,2024,Administracion de Bienes del Estado,11141499786.0
25,Jefatura de Gabinete de Ministros,34,2025,Iniciativas Complementarias de Interior,17382400969.0
25,Jefatura de Gabinete de Ministros,34,2026,Administracion de Bienes del Estado,15573214830.0
25,Jefatura de Gabinete de Ministros,50,2023,Coordinacion de Proyectos Sociocomunitarios,499335917.0
25,Jefatura de Gabinete de Ministros,50,2025,Desarrollo del Turismo Nacional,2714921666.0
25,Jefatura de Gabinete de Ministros,50,2026,Formulacion y Ejecucion de Politica en Ciencia y Tecnica,22918575881.0
25,Jefatura de Gabinete de Ministros,51,2023,Legitimar y Reconstruir Juventudes,1440789440.0
25,Jefatura de Gabinete de Ministros,51,2025,Plan Federal de Turismo Social Responsable,6313570514.0
25,Jefatura de Gabinete de Ministros,52,2023,Argentina Futura,32333288.0
25,Jefatura de Gabinete de Ministros,52,2025,Inversiones con Financiamiento Internacional,1733408092.0
25,Jefatura de Gabinete de Ministros,53,2025,Calidad y Formacion Turistica,540878441.0
25,Jefatura de Gabinete de Ministros,53,2026,Calidad Turistica,3445956862.0
25,Jefatura de Gabinete de Ministros,55,2025,Deporte Federado e Iniciacion Deportiva,12263886529.0
25,Jefatura de Gabinete de Ministros,55,2026,"Estrategia, Coordinacion y Priorizacion de las Politicas Publicas",11036712137.0
25,Jefatura de Gabinete de Ministros,62,2023,Coordinacion de Iniciativas bajo la Modalidad de Contratos de Participacion Publica - Privada,33440053.0
25,Jefatura de Gabinete de Ministros,62,2024,Prevencion y Control de Discapacidades,3501598955.0
25,Jefatura de Gabinete de Ministros,74,2023,Prensa y Difusion de Actos de Gobierno,20520458835.0
25,Jefatura de Gabinete de Ministros,74,2025,Politica Ambiental en Recursos Naturales,13454259852.0
25,Jefatura de Gabinete de Ministros,75,2023,Acciones para la Federalizacion de la Comunicacion Publica y de los Contenidos,806947224.0
25,Jefatura de Gabinete de Ministros,75,2025,Promocion y Gestion del Cambio Climatico y el Desarrollo Sostenible,2549009848.0
25,Jefatura de Gabinete de Ministros,8,2023,Actividad Comun a los Programas 74 y 75,1225306274.0
25,Jefatura de Gabinete de Ministros,8,2025,Actividades Comun de Programas de Turismo y Deporte,7323407957.0
25,Jefatura de Gabinete de Ministros,9,2023,"Actividades Comunes a los Programas 24, 25, 26 y 58",5178100178.0
25,Jefatura de Gabinete de Ministros,9,2024,"Actividades Comunes a los Programas 24, 25 y 26",5797518071.0
25,Jefatura de Gabinete de Ministros,9,2025,Actividades Comunes a los Programas 24 y 25,1117294268.0
30,Ministerio del Interior,11,2024,Actividad Comun a Programas 54 y 55 Deportes,1489548823.0
30,Ministerio del Interior,11,2026,Actividades Comunes a los Programas de Deporte,408696357.0
30,Ministerio del Interior,16,2023,Impulso al Desarrollo del Sistema Democratico y Relaciones con la Comunidad,56361336715.0
30,Ministerio del Interior,16,2024,Promocion del Turismo Receptivo Internacional,12143423207.0
30,Ministerio del Interior,16,2026,Impulso al Desarrollo del Sistema Democratico y Relaciones con la Comunidad,3680214457.0
30,Ministerio del Interior,54,2024,Deporte Comunitario y Competencias,25056114500.0
30,Ministerio del Interior,54,2026,"Deporte Comunitario, Infraestructura Deportiva y Predios Deportivos Nacionales",17959783880.0
30,Ministerio del Interior,55,2024,Deporte Federado e Iniciacion Deportiva,11418885757.0
30,Ministerio del Interior,55,2026,Deporte Federado y Representacion Nacional,16333031236.0
30,Ministerio del Interior,57,2024,Programa Federal de Infraestructura Deportiva,776402205.0
30,Ministerio del Interior,57,2026,Programa Federal de Infraestrutura Deportiva,40500000.0
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",23,2023,"Acciones Diplomaticas para la Promocion del Reclamo Argentino de Reconocimiento de la Soberania Nacional de las Islas Malvinas,",755342260.0
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",23,2024,"Acciones Diplomaticas para la Promocion del Reclamo Argentino de Reconocimiento de la Soberania Nacional de las Islas Malvinas,",3452799880.0
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",23,2025,"Acciones Diplomaticas para la Promocion del Reclamo Argentino de Reconocimiento de la Soberania Nacional de las Islas Malvinas,",4429977655.0
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",23,2026,"Acciones Diplomaticas asociadas a la Cuestion Malvinas, Antartida, Politica Oceanica y Atlantico Sur",4575344263.0
40,Ministerio de Justicia y Derechos Humanos,16,2023,Seguridad y Rehabilitacion del Interno,58736113971.0
40,Ministerio de Justicia,16,2024,Promocion Internacional de los Derechos Humanos,1147520180.0
40,Ministerio de Justicia,16,2025,Promocion Internacional de los Derechos Humanos,1754590852.0
40,Ministerio de Justicia,16,2026,Promocion Internacional de los Derechos Humanos,1762457217.0
41,Ministerio de Seguridad,39,2023,Seguridad en Eventos Deportivos,105189616.0
41,Ministerio de Seguridad,39,2024,Seguridad en Eventos Deportivos,465676232.0
41,Ministerio de Seguridad Nacional,39,2025,Control y Servicio Tecnico de Seguridad de la Navegacion,6999643426.0
41,Ministerio de Seguridad Nacional,39,2026,Control y Servicio Tecnico de Seguridad de la Navegacion,7504565311.0
41,Ministerio de Seguridad,42,2023,Asistencia Sanitaria de la Gendarmeria Nacional,6412450809.0
41,Ministerio de Seguridad,42,2024,Asistencia Sanitaria de la Gendarmeria Nacional,28868495239.0
41,Ministerio de Seguridad Nacional,42,2025,Asistencia Sanitaria de la Gendarmeria Nacional,35628882218.0
41,Ministerio de Seguridad Nacional,42,2026,Asistencia Sanitaria de la Gendarmeria Nacional Argentina,88063772990.0
50,Ministerio de Economía,10,2024,Actividades Comunes de los Programas de la Secretaria de Bioeconomia,26693957292.0
50,Ministerio de Economía,10,2025,Actividades Comunes a los Programas de la Secretaria de Industria y Desarrollo Productivo,96925330275.0
50,Ministerio de Economía,17,2023,"Investigacion Aplicada, Innovacion, Transferencias de Tecnologias, Extension y Apoyo al Desarrollo Rural - AITTE",33956468443.0
50,Ministerio de Economía,17,2024,"Investigacion Aplicada, Innovacion, Transferencias de Tecnologias, Extension y Apoyo al Desarrollo Rural - AITTE",152181146539.0
50,Ministerio de Economía,17,2025,"Investigacion Aplicada, Innovacion, Transferencias de Tecnologias, Extension y Apoyo al Desarrollo Rural - AITTE",153247534956.0
50,Ministerio de Economía,17,2026,Regulacion del Transporte y Distribucion de Gas,59654265600.0
50,Ministerio de Economía,18,2023,Proteccion de los Derechos de la Propiedad Industrial,2755762481.0
50,Ministerio de Economía,18,2024,Proteccion de los Derechos de la Propiedad Industrial,12432536494.0
50,Ministerio de Economía,18,2025,Proteccion de los Derechos de la Propiedad Industrial,14729251494.0
50,Ministerio de Economía,18,2026,Regulacion y Contralor del Mercado Electrico,20403524400.0
50,Ministerio de Economía,20,2023,Desarrollos y Suministros para la Energia Nuclear,15039688952.0
50,Ministerio de Economía,20,2024,Desarrollos y Suministros para la Energia Nuclear,68024614638.0
50,Ministerio de Economía,20,2025,Prevencion Sismica,807756615.0
50,Ministerio de Economía,20,2026,Prevencion Sismica,1937700283.0
50,Ministerio de Economía,24,2023,Suministros y Tecnologia del Ciclo de Combustible Nuclear,3401810638.0
50,Ministerio de Economía,24,2024,Suministros y Tecnologia del Ciclo de Combustible Nuclear,14670931379.0
50,Ministerio de Economía,24,2025,Acciones para la Sanidad Animal,32565196761.0
50,Ministerio de Economía,24,2026,Suministros y Tecnologia del Ciclo de Combustible Nuclear,19575257458.0
50,Ministerio de Economía,25,2023,Coordinacion del Plan Nacional de Medicina,233000233.0
50,Ministerio de Economía,25,2024,Coordinacion del Plan Nacional de Medicina,651087204.0
50,Ministerio de Economía,25,2025,Acciones para la Proteccion Vegetal,30539619300.0
50,Ministerio de Economía,25,2026,Coordinacion del Plan Nacional de Medicina,1124205147.0
50,Ministerio de Economía,26,2023,Administracion Financiera,2699475872.0
50,Ministerio de Economía,26,2024,Administracion Financiera,23699893556.0
50,Ministerio de Economía,26,2025,Ejecucion Obras de Rehabilitacion y Mantenimiento en Red por Sistema de Gestion Integral,41502744906.0
50,Ministerio de Economía,26,2026,Acciones para la Inocuidad y Calidad Agroalimentaria,51166861673.0
50,Ministerio de Economía,3,2023,"Actividades Comunes de los Programas de la Secretaria de Agricultura, Ganaderia y Pesca",6440382232.0
50,Ministerio de Economía,3,2024,Actividades Comunes de los Programas de la Secretaria de Bioeconomia,8144852410.0
50,Ministerio de Economía,3,2026,Actividades Comunes a los Programas de las Secretarias de Energia y de Mineria,237915941.0
50,Ministerio de Economía,37,2023,Prevencion del Lavado de Activos,1833847655.0
50,Ministerio de Economía,37,2025,Planificacion Territorial de la Inversion Publica,29465790.0
50,Ministerio de Economía,37,2026,"Fiscalizacion, Regulacion y Control del Servicio de Transporte Terrestre",25938190720.0
